"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 15:00:06 CST 2022","Tue Jun 14 15:01:04 CST 2022","57427","test_case","test_web","Test_web","","","test_8[data_80]",""
"passed","Tue Jun 14 14:56:06 CST 2022","Tue Jun 14 14:57:03 CST 2022","57115","test_case","test_web","Test_web","","","test_4[data_40]",""
"passed","Tue Jun 14 14:54:10 CST 2022","Tue Jun 14 14:55:08 CST 2022","57218","test_case","test_web","Test_web","","","test_2[data_20]",""
"passed","Tue Jun 14 15:03:22 CST 2022","Tue Jun 14 15:05:43 CST 2022","140926","test_case","test_web","Test_web","","","test_smtp[smtp_100]",""
"passed","Tue Jun 14 14:57:03 CST 2022","Tue Jun 14 14:58:01 CST 2022","58081","test_case","test_web","Test_web","","","test_5[data_50]",""
"passed","Tue Jun 14 14:58:01 CST 2022","Tue Jun 14 14:59:00 CST 2022","58488","test_case","test_web","Test_web","","","test_6[data_60]",""
"passed","Tue Jun 14 15:01:04 CST 2022","Tue Jun 14 15:03:22 CST 2022","138455","test_case","test_web","Test_web","","","test_pop3[pop3_90]",""
"passed","Tue Jun 14 14:55:10 CST 2022","Tue Jun 14 14:56:06 CST 2022","56482","test_case","test_web","Test_web","","","test_3[data_30]",""
"passed","Tue Jun 14 14:53:11 CST 2022","Tue Jun 14 14:54:10 CST 2022","59695","test_case","test_web","Test_web","","","test_1[data_10]",""
"passed","Tue Jun 14 14:59:00 CST 2022","Tue Jun 14 15:00:06 CST 2022","66534","test_case","test_web","Test_web","","","test_7[data_70]",""
